filename,exit_code,execution_time_ms,peak_memory_mb,crash_signal,error,uniq_map_create,uniq_map_trans,uniq_ic_states,uniq_elem_kind,proto_invalidated,gc_minor,gc_major,opt_attempts,opt_success,opt_marked,deopt_all,deopt_unique_reasons,deopt_ratio,log_kb,map_create_count,bucket_string_count,elem_kind_holey,instance_size_max,back_pointer_is_null,non_extensible_flag,bucket_misc_count,bucket_collection_count,bucket_array_count,bucket_weak_count,bucket_handler_count,bucket_dictionary_count,bucket_code_count,elem_kind_shared,elem_kind_slow,bucket_context_count,elem_kind_typed,elem_kind_misc,elem_kind_double,elem_kind_args,unique_map_types,max_descriptor_array_size,uses_transition_array,stable_map_flag,has_cycle_in_back_ptrs,is_code_type,is_feedback_vector,is_cons_or_thin_string,is_external_string,is_symbol_type,is_instruction_stream,total_ic_count,load_ic_count,store_ic_count,megamorphic_ics,polymorphic_ics,monomorphic_ics,prototype_failure_ics,ic_state_transitions,ic_slow_stub_count,polymorphic_in_optimized_func_count,ic_triggered_deopts,issue_report_date,target
extra-commas.js,0,475,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1233,933,24,894,192,741,49,809,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,115,63,52,0,0,2,0,2,0,0,0,2023-12-31,0
fannkuch.js,0,2240,0.0,,,0,0,0,0,0,0,1,2,2,2,2,2,1.0,4484,1659,24,1609,496,769,49,1527,14,53,6,8,8,2,1,8,10,23,7,1,1,293,121,False,True,True,True,True,True,True,True,True,3043,2250,793,10,46,252,2,292,0,0,0,2023-12-31,0
fast-api-annotations.js,1,2472,0.0,,,0,0,0,0,0,0,0,2,2,0,1,0,0.5,1422,995,24,956,192,749,49,871,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,120,65,55,0,0,6,0,6,0,0,0,2023-12-31,0
fast-api-calls-64-bit-integer-values.js,0,2718,0.0,,,0,0,0,0,0,0,0,4,4,0,1,0,0.25,1424,986,24,947,192,748,49,862,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,276,225,51,0,0,7,0,7,0,0,0,2023-12-31,0
fast-api-calls-8args.js,1,2034,0.0,,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1415,995,24,956,192,749,49,871,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,100,45,55,0,0,1,0,1,0,0,0,2023-12-31,0
fast-api-calls-pointer.js,0,863,0.0,,,0,0,0,0,0,0,0,4,4,0,1,0,0.25,1418,986,24,947,192,748,49,862,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,230,179,51,0,0,5,0,5,0,0,0,2023-12-31,0
fast-api-calls-string.js,1,508,0.0,,,0,0,0,0,0,0,0,1,1,0,1,0,1.0,1418,995,24,956,192,749,49,871,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,143,88,55,0,0,3,0,3,0,0,0,2023-12-31,0
fast-api-calls-wasm.js,1,448,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1389,980,24,941,192,745,49,856,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,65,14,51,0,0,0,0,0,0,0,0,2023-12-31,0
fast-api-calls.js,1,2268,0.0,,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1429,995,24,956,192,749,49,871,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,112,57,55,0,0,6,0,6,0,0,0,2023-12-31,0
fast-api-clamp-annotations.js,0,2865,0.0,,,0,0,0,0,0,0,0,4,4,0,1,0,0.25,1410,985,24,946,192,747,49,861,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,172,121,51,0,0,9,0,9,0,0,0,2023-12-31,0
